company_id,name,sector,hq_city,company_size,contact_email,contact_phone,active_postings,verified
CMP0001,bKash,Fintech / Mobile Financial Services,Dhaka,501-1000,careers@bkash.com.bd,01844902166,2,True
CMP0002,Nagad,Fintech / Mobile Financial Services,Dhaka,501-1000,careers@nagad.com.bd,01380850960,6,True
CMP0003,Pathao,Ride-sharing & Logistics,Dhaka,1000+,careers@pathao.com.bd,01987495119,6,True
CMP0004,Chaldal,E-commerce / Grocery,Dhaka,11-50,careers@chaldal.com.bd,01728197931,4,True
CMP0005,Daraz Bangladesh,E-commerce,Dhaka,501-1000,careers@darazbangladesh.com.bd,01625129578,6,True
CMP0006,Grameenphone,Telecommunications,Dhaka,501-1000,careers@grameenphone.com.bd,01509600356,0,True
CMP0007,Robi Axiata,Telecommunications,Dhaka,51-200,careers@robiaxiata.com.bd,01758739592,2,True
CMP0008,Banglalink,Telecommunications,Dhaka,51-200,careers@banglalink.com.bd,01521089028,6,True
CMP0009,Square Group,Pharmaceuticals & Conglomerate,Dhaka,201-500,careers@squaregroup.com.bd,01533342643,0,True
CMP0010,Beximco Group,Pharmaceuticals & Conglomerate,Dhaka,51-200,careers@beximcogroup.com.bd,01471607360,6,True
CMP0011,ACI Limited,Conglomerate / Consumer Goods,Dhaka,501-1000,careers@acilimited.com.bd,01469112898,3,True
CMP0012,Unilever Bangladesh,FMCG,Dhaka,11-50,careers@unileverbangladesh.com.bd,01379556331,1,True
CMP0013,BAT Bangladesh,FMCG,Dhaka,1000+,careers@batbangladesh.com.bd,01717006661,2,True
CMP0014,Marico Bangladesh,FMCG,Dhaka,201-500,careers@maricobangladesh.com.bd,01916431670,2,False
CMP0015,Nestlé Bangladesh,FMCG,Dhaka,201-500,careers@nestlébangladesh.com.bd,01502329028,5,True
CMP0016,Berger Paints Bangladesh,Manufacturing,Dhaka,51-200,careers@bergerpaintsbangladesh.com.bd,01900934596,1,True
CMP0017,Walton Group,Electronics Manufacturing,Gazipur,51-200,careers@waltongroup.com.bd,01722512073,3,True
CMP0018,Pran-RFL Group,Consumer Goods / Manufacturing,Dhaka,201-500,careers@pranrflgroup.com.bd,01949500507,3,True
CMP0019,City Bank,Banking,Dhaka,11-50,careers@citybank.com.bd,01608698221,5,True
CMP0020,BRAC Bank,Banking,Dhaka,11-50,careers@bracbank.com.bd,01361177687,2,False
CMP0021,Eastern Bank Limited (EBL),Banking,Dhaka,51-200,careers@easternbanklimited.com.bd,01804774258,6,True
CMP0022,Dutch-Bangla Bank,Banking,Dhaka,201-500,careers@dutchbanglabank.com.bd,01377932382,4,True
CMP0023,Standard Chartered Bangladesh,Banking,Dhaka,51-200,careers@standardcharteredbangladesh.com.bd,01816491334,1,True
CMP0024,The City Bank,Banking,Dhaka,51-200,careers@thecitybank.com.bd,01579889425,5,True
CMP0025,IDLC Finance,Financial Services,Dhaka,501-1000,careers@idlcfinance.com.bd,01706032020,2,True
CMP0026,MetLife Bangladesh,Insurance,Dhaka,51-200,careers@metlifebangladesh.com.bd,01397753967,1,True
CMP0027,Green Delta Insurance,Insurance,Dhaka,51-200,careers@greendeltainsurance.com.bd,01771485524,3,True
CMP0028,Therap (BD),Software / HealthTech,Dhaka,201-500,careers@therap.com.bd,01987158415,6,True
CMP0029,Brain Station 23,Software Development,Dhaka,501-1000,careers@brainstation23.com.bd,01721371184,5,True
CMP0030,Kaz Software,Software Development,Dhaka,51-200,careers@kazsoftware.com.bd,01668182683,6,True
CMP0031,Selise Digital Platforms,Software Development,Dhaka,51-200,careers@selisedigitalplatforms.com.bd,01903589298,6,True
CMP0032,Enosis Solutions,Software Development,Dhaka,1000+,careers@enosissolutions.com.bd,01583825212,0,True
CMP0033,Vivasoft Limited,Software Development,Dhaka,1000+,careers@vivasoftlimited.com.bd,01928963406,1,True
CMP0034,Optimizely (BD office),Software Development,Dhaka,201-500,careers@optimizely.com.bd,01677524014,3,False
CMP0035,Reve Systems,Telecom Software,Dhaka,1000+,careers@revesystems.com.bd,01899106227,5,True
CMP0036,Field Buzz,SaaS / Field Sales Tech,Dhaka,51-200,careers@fieldbuzz.com.bd,01462669335,6,False
CMP0037,Sheba Platform Limited,Services Marketplace,Dhaka,11-50,careers@shebaplatformlimited.com.bd,01526192372,1,False
CMP0038,ShopUp,E-commerce Enablement,Dhaka,201-500,careers@shopup.com.bd,01818481973,6,True
CMP0039,Khaas Food,AgriTech / E-commerce,Dhaka,501-1000,careers@khaasfood.com.bd,01797215406,2,True
CMP0040,iFarmer,AgriTech,Dhaka,201-500,careers@ifarmer.com.bd,01692743811,0,True
CMP0041,Arogga,HealthTech,Dhaka,1000+,careers@arogga.com.bd,01476601444,4,True
CMP0042,Maya Apa,HealthTech,Dhaka,1000+,careers@mayaapa.com.bd,01945101739,2,True
CMP0043,Truck Lagbe,Logistics Tech,Dhaka,501-1000,careers@trucklagbe.com.bd,01841789969,1,True
CMP0044,Paperfly,Logistics,Dhaka,1000+,careers@paperfly.com.bd,01609191911,6,False
CMP0045,RedX Logistics,Logistics,Dhaka,51-200,careers@redxlogistics.com.bd,01896605779,2,True
CMP0046,eCourier,Logistics,Dhaka,1000+,careers@ecourier.com.bd,01960392051,0,False
CMP0047,Sindabad.com,B2B E-commerce,Dhaka,201-500,careers@sindabadcom.com.bd,01874555347,3,True
CMP0048,Rokomari.com,E-commerce / Books,Dhaka,11-50,careers@rokomaricom.com.bd,01842388565,2,True
CMP0049,Evaly (Legacy),E-commerce,Dhaka,51-200,careers@evaly.com.bd,01355983541,6,True
CMP0050,Bikroy.com,Online Marketplace,Dhaka,11-50,careers@bikroycom.com.bd,01772634755,5,True
CMP0051,Bproperty,PropTech,Dhaka,501-1000,careers@bproperty.com.bd,01450139488,2,True
CMP0052,AK Khan Telecom,Telecommunications,Chattogram,201-500,careers@akkhantelecom.com.bd,01469131196,6,True
CMP0053,Summit Group,Energy & Infrastructure,Dhaka,201-500,careers@summitgroup.com.bd,01756261499,1,True
CMP0054,Orion Group,Conglomerate,Dhaka,11-50,careers@oriongroup.com.bd,01603824073,2,False
CMP0055,Akij Group,Conglomerate,Dhaka,51-200,careers@akijgroup.com.bd,01632043097,1,True
